id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý (resolution) ticket P1 đã thay đổi từ 6 giờ xuống còn 4 giờ [1].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,"The answer is completely grounded in the provided context. The information regarding the change from 6 hours to 4 hours for P1 resolution is explicitly stated in the first chunk, and the citation [1] correctly points to that source.",5,The answer directly addresses the user's query by providing the specific change in SLA time for P1 tickets compared to the previous version.,5,Retrieved: 1/1 expected sources,3,"The model correctly identifies the change in SLA time (6 hours to 4 hours) but fails to mention the specific version numbers (v2026.1 and v2025.3) and the effective date, which were key components of the expected answer.",baseline_dense
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Khi làm việc remote, bạn bắt buộc phải sử dụng VPN khi truy cập vào hệ thống nội bộ [2]. Mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc [1].","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,"The answer is completely grounded in the provided context. The first sentence is supported by chunk 2 ('Kết nối VPN bắt buộc khi làm việc với hệ thống nội bộ'), and the second sentence is supported by chunk 1 ('Mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc').",5,The answer directly addresses both parts of the user's query (requirement to use VPN and the maximum number of devices allowed) with specific information.,5,Retrieved: 2/2 expected sources,5,"The model answer covers all key points: it confirms the mandatory use of VPN for remote work and correctly specifies the limit of 2 devices per account. While it omits the specific names of the policy/FAQ documents, it accurately conveys the required information.",baseline_dense
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Không được hoàn tiền. Theo chính sách, các đơn hàng đã áp dụng mã giảm giá Flash Sale hoặc sản phẩm đã được kích hoạt đều thuộc các trường hợp ngoại lệ không được hoàn tiền [1].",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt - cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,The answer is fully supported by the provided context. It correctly identifies the specific exceptions mentioned in the retrieved chunks (Flash Sale discount and activated products) as reasons for the denial of a refund.,5,Câu trả lời trực tiếp giải quyết cả hai khía cạnh trong câu hỏi của người dùng (đơn hàng Flash Sale và sản phẩm đã kích hoạt) và đưa ra kết luận rõ ràng dựa trên chính sách.,5,Retrieved: 1/1 expected sources,4,"The model answer correctly identifies that the order is not refundable. However, it uses the word 'hoặc' (or) instead of 'và' (and), which slightly misrepresents the logic that the order falls into both exceptions simultaneously as stated in the ground truth.",baseline_dense
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit thay vì hoàn tiền, bạn sẽ nhận được 110% giá trị so với số tiền gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,"The answer is completely grounded in the provided context. The information regarding the 110% value for store credit is explicitly stated in the first chunk, and the citation [1] correctly points to this source.",5,The answer directly and clearly addresses the user's question by providing the specific percentage (110%) offered for store credit compared to the original refund amount.,5,Retrieved: 1/1 expected sources,4,"The model answer correctly identifies the 110% value, but it misses the explicit clarification that this is an optional choice rather than a mandatory policy.",baseline_dense
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","ERROR: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite
Please retry in 41.623572836s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-3.1-flash-lite""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, retry_delay {
  seconds: 41
}
]","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",1,"The provided context is empty, and the answer is an error message indicating a system failure rather than a response derived from retrieved information.",1,"Evaluation error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite
Please retry in 39.817868725s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-3.1-flash-lite""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, retry_delay {
  seconds: 39
}
]",0,Retrieved: 0/1 expected sources. Missing: ['it/access-control-sop.md'],1,"Evaluation error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite
Please retry in 39.616243183s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-3.1-flash-lite""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, retry_delay {
  seconds: 39
}
]",baseline_dense
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","ERROR: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite
Please retry in 35.537262331s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-3.1-flash-lite""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, retry_delay {
  seconds: 35
}
]","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",1,"The provided context is empty, and the answer is an API error message rather than a response derived from any source material.",1,"Evaluation error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite
Please retry in 33.876685894s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-3.1-flash-lite""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, retry_delay {
  seconds: 33
}
]",0,"Retrieved: 0/2 expected sources. Missing: ['it/access-control-sop.md', 'support/sla-p1-2026.pdf']",1,"Evaluation error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite
Please retry in 33.66416356s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-3.1-flash-lite""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, retry_delay {
  seconds: 33
}
]",baseline_dense
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,"ERROR: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite
Please retry in 30.265248944s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-3.1-flash-lite""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, retry_delay {
  seconds: 30
}
]","Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",1,"Evaluation error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite
Please retry in 30.073842308s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-3.1-flash-lite""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, retry_delay {
  seconds: 30
}
]",1,The answer is a technical error message regarding API rate limits and does not contain any information related to the user's query about SLA penalties.,,No expected sources,1,The model failed to provide an answer due to a technical error (quota exceeded). It did not address the query or provide any information regarding the SLA penalty.,baseline_dense
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải gửi yêu cầu nghỉ phép năm ít nhất 3 ngày làm việc trước ngày nghỉ [2].

Con số này không giống với số ngày cần giấy tờ khi nghỉ ốm; đối với nghỉ ốm, nhân viên chỉ cần giấy tờ y tế từ bệnh viện nếu nghỉ trên 3 ngày liên tiếp [1].",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,The answer is completely grounded in the provided context. It accurately cites the requirement for submitting leave requests at least 3 days in advance (from chunk 2) and correctly distinguishes this from the medical certificate requirement for sick leave exceeding 3 consecutive days (from chunk 1).,5,The answer directly addresses both parts of the user's query: it specifies the notice period for annual leave and clarifies that the requirements for sick leave (medical documentation) are different and based on a different threshold.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points: it correctly identifies the 3-day notice period for annual leave, clarifies the distinction regarding the 3-day threshold for medical documentation in case of sick leave, and explicitly states that the two scenarios are different.",baseline_dense
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có, mật khẩu cần được thay đổi định kỳ mỗi 90 ngày [1]. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn [1]. Tuy nhiên, tài liệu không nêu rõ địa chỉ cụ thể để thực hiện việc đổi mật khẩu định kỳ [1].","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,"The answer is completely grounded in the provided context. It accurately cites the 90-day requirement and the 7-day reminder policy from the first chunk. The statement regarding the lack of specific instructions for 'periodic' password changes is also correct, as the provided text only mentions the reset process for forgotten passwords, not a specific portal for proactive periodic changes.",5,"Câu trả lời giải quyết đầy đủ cả 3 ý trong câu hỏi của người dùng: xác nhận việc đổi mật khẩu định kỳ, thời gian nhắc nhở và làm rõ việc tài liệu không cung cấp thông tin về nơi thực hiện đổi mật khẩu.",5,Retrieved: 1/1 expected sources,3,"The model correctly identified the frequency of password changes (90 days) and the notification period (7 days). However, it failed to provide the instructions for where to change the password (the URL and Helpdesk contact), incorrectly stating that the information was missing from the source.",baseline_dense
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,"Không, chính sách này không áp dụng cho các đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].",Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,The answer is completely grounded in the provided context. It accurately reflects the information in the first chunk regarding the effective date of the policy and the handling of orders placed before that date.,5,"Câu trả lời trực tiếp giải đáp thắc mắc của người dùng, xác nhận chính sách không áp dụng và cung cấp thông tin về chính sách thay thế một cách rõ ràng.",5,Retrieved: 1/1 expected sources,5,"The model answer accurately addresses the query, confirms that the policy does not apply to orders before the specified date, and correctly identifies that version 3 applies instead. It covers all key information provided in the ground truth.",baseline_dense
